"Name","Address","City","State","Phone","Type"
"Bruery, The","715 Dunn Way","Placentia","CA","(714) 996-6258","Brewery"
"Butcher's Brewing","9962 Prospect Ave.","Santee","CA","(619) 334-2222","Brewery"
"California Brewing Company","9348 Deschutes Rd","Palo Cedro","CA","(530) 222-2739","Brewery"
"Camino Brewing Co","718 S. First St","San Jose","CA","(408) 759-5221","Brewery"
"Carneros Brewing Company","22985 Burndale Road","Sonoma","CA","(707) 938-1880","Brewery"
"Cedar Crest Brewing","615 Main Street","Red Bluff","CA","(530) 727-9016","Brewery"
"Cellarmaker Brewing Co","1150 Howard St","San Francisco","CA","(415) 863-3940","Brewery"
"Central Coast Brewing","1422 Monterey Street, Suite B100","San Luis Obispo","CA","(805) 783-2739","Brewery"
"Chino Valley Brewery","1630 E Francis St., Suite J","Ontario","CA","(951) 291-7117","Brewery"
"ChuckAlek Independent Brewers","2330 Main Street, Suite C","Ramona","CA","(513) 465-9768","Brewery"
"Cismontane Brewing Company","29851 Aventura Suite D","Rancho Santa Margarita","CA","(949) 888-2739","Brewery"
"Claremont Craft Ales","1420 N Claremont Blvd #204c","Claremont","CA","(909) 625-5350","Brewery"
"Cleophus Quealy Beer Co","448 Hester St","San Leandro","CA","510-463-4534","Brewery"
"Coachella Valley Brewing Co.","30640 Gunther Street","Thousand Palms","CA","(760) 343-5973","Brewery"
"Cool Beerwerks","5020 Ellinghouse Drive","Cool","CA","(530) 885-5866","Brewery"
"Coronado Brewing Company","1205 Knoxville Street","San Diego","CA","(619) 275-2215","Brewery"
"Corralitos Brewing Co","2536 Freedom Blvd","Corralitos","CA","831.728.2311","Brewery"
"Craft Brewing Company","530 Crane St Ste C","Lake Elsinore","CA","(951) 226-0149","Brewery"
"Craftsman Brewing Co.","1270 Lincoln Avenue #800","Pasadena","CA","(818) 298-2437","Brewery"
"Crooked Lane Brewing Company","536 Grass Valley Highway","Auburn","CA","","Brewery"
"Culture Brewing Co.","111 S Cedros Ave #200","Solana Beach","CA","(858) 345-1144","Brewery"
"Culver Beer Company","2719 West Loker Ave  Ste D","Carlsbad","CA","(760) 814-2355","Brewery"
"Device Brewing Company","8166 14th Avenue","Sacramento","CA","","Brewery"
"Devil's Canyon Brewing Company","935 Washington St","San Carlos","CA","(650) 592-2739","Brewery"
"Dos Desperados Brewery","1241 Linda Vista Dr","San Marcos","CA","760-566-6209","Brewery"
"Dr. Jekyll's Craft Beer","825 Cambridge Court","Pasadena","CA","310-273-8339","Brewery"
"Drake's Brewing Co.","1933 Davis Street","San Leandro","CA","(510) 562-0866","Brewery"
"Draughtsmen Aleworks","53 Santa Felicia Dr","Goleta","CA","805-387-2577","Brewery"
"Dudes' Brewing Company, The","1840 W 208th St","Torrance","CA","","Brewery"
"Dunbar Brewing","2200 El Camino Real","Santa Margarita","CA","(805) 704-9050","Brewery"
"Dust Bowl Brewing Company","3100 Spengler Way","Turlock","CA","","Brewery"
"E.J. Phair Brewing Company","300 Cumberland St","Pittsburg","CA","(925) 680-4253","Brewery"
"Eagle Rock Brewery","3056 Roswell St","Los Angeles","CA","(323) 257-7866","Brewery"
"Earth and Fire Brewing Company","825 Riverside Ave Ste 1","Paso Robles","CA","(805) 270-2959","Brewery"
"EDH Brewing Co","875 Embarcadero Dr","El Dorado Hills","CA","916-220-0438","Brewery"
"Eel River Brewing - Production Brewery","125 Main St","Scotia","CA","(707) 764-1772â€Ž","Brewery"
"Eight Bridges Brewing Company","332 Earhart Way","Livermore","CA","(925) 961-9160","Brewery"
"Einhorn Beer Company","274 Buchon St","San Luis Obispo","CA","(805) 540-8040","Brewery"
"El Segundo Brewing","140 Main St.","El Segundo","CA","(310) 529-3882","Brewery"
"El Toro Brewing Co.","17370 Hill Road","Morgan Hill","CA","(408) 778-2739","Brewery"
"Electric Brewing Co.","41537 Cherry St","Murrieta","CA","951-696-2266","Brewery"
"Elizabeth Street Brewery ESB","798 Elizabeth St","San Francisco","CA","(415) 244-5496","Brewery"
"Enegren Brewing Company","444 Zachary St. #120","Moorpark","CA","(805) 552-0602","Brewery"
"Essential Spirits","144 A South Whisman Road","Mountain View","CA","(650) 962-0546","Brewery"
"Faction Brewing","2501 Monarch Street","Alameda","CA","(510) 523-2739","Brewery"
"Fall Brewing","4542 30th St","San Diego","CA","","Brewery"
"Fall River Brewing Taphouse","1030 East Cypress Ave Suite D","Redding","CA","530-605-0230","Brewery"
"Fallbrook Brewing","136 North Main Avenue","Fallbrook","CA","","Brewery"
"Feather River Brewing Co","14665 Forest Ridge Rd","Magalia","CA","(530) 873-0734 ","Brewery"
"Ferment Drink Repeat","2636 San Bruno Ave","San Francisco","CA","(415) 825-5657","Brewery"
"Fezziwig's Brewing Co.","5621 Palmer Way, Suite C","Carlsbad","CA","(909) 529-2337","Brewery"
"Fieldwork Brewing","1160 Sixth St","Berkeley","CA","","Brewery"
"Figueroa Mountain Brewing Company","45 Industrial Way","Buellton","CA","(805) 694-2252","Brewery"
"Firemans Brew","6433 Topanga Canyon Blvd, #189 ","Woodland Hills","CA","(818) 883-2739 ","Brewery"
"Firestone Walker Brewing Co.","1400 Ramada Drive","Paso Robles","CA","(805) 238-2556","Brewery"
"Firestone Walker Taproom","620 McMurray Road","Buellton","CA","(805) 686-1557","Brewery"
"Five Threads Brewing Compnay","31133 Via Counas Ste 109","estlake Village","CA","(805) 457-5990","Brewery"
"Fogbelt Brewing Company","1305 Cleveland Ave","Santa Rosa","CA","(707) 978-3400","Brewery"
"Four Sons Brewing","18421 Gothard St., Ste. 100","Huntington Beach","CA","","Brewery"
"Fox Barrel Cider Co.","1213 S. Auburn Street","Colfax","CA","(530) 346-9699","Brewery"
"Full Circle Brewing Co.","620 F Street","Fresno","CA","(559) 264-6323","Brewery"
"Goathouse Brewing","600 Wise Road","Lincoln","CA","916-740-9100","Brewery"
"Gold Hill Brewery","5660 Vineyard Lane","Placerville","CA","(530) 626-6522","Brewery"
"Golden Gate Brewing Co","346 Santa Clara Ave","Oakland","CA","(415) 341-6326","Brewery"
"Gordon Biersch Brewery","357 E. Taylor St","San Jose","CA","(408) 278-1008","Brewery"
"Great Beer Co, The","21119 Superior St","Chatsworth","CA","(818) 718-2739","Brewery"
"Green Cheek Beer Co","2294 N. Batavia, C","Orange","CA","(714) 998-8172","Brewery"
"Green Flash Tasting Room and Beer Garden","6550 Mira Mesa Boulevard","San Diego","CA","","Brewery"
"Groundswell Brewing Company","6304 Riverdale St.","San Diego","CA","(619) 770-7827","Brewery"
"Hamilton Family Brewery","9757 7th St #802","Rancho Cucamonga","CA","(909) 989-7050","Brewery"
"Hand-Brewed Beer","9771 Variel Ave","Chatsworth","CA","8189641422","Brewery"
"Hangar 24 Craft Brewery","1710 Sessums Drive","Redlands","CA","(909) 389-1400","Brewery"
"Harmonic Brewing","1050 26th St","San Francisco","CA","(415) 872-6817","Brewery"
"Heidrun Meadery","55 Ericson Court, Suite 4","Arcata","CA","(707) 825-8748","Brewery"
"Heidrun Meadery","11925 CA Hwy 1","Point Reyes Station","CA","(415) 663-9122","Brewery"
"Helm's Brewing Co.","5640 Kearny Mesa Rd. Suite C/N","San Diego","CA","(858) 384-2772","Brewery"
"Heretic Brewing Company","1052 Horizon Dr. Suite B","Fairfield","CA","(925) 526-6364","Brewery"
"Hermitage Brewing Co - Tied House Production Fac","1627 S 7th St","San Jose","CA","(650) 965-2739","Brewery"
"Hess Brewing Co","7955 Silverton Ave #1201","San Diego","CA","(619) 887-6453","Brewery"
"Highland Park Brewery","5125 York Blvd.","Los Angeles","CA","323-739-6459","Brewery"
"Honey Wagon Brewing","365 Enterprise Way Suite G","Tehachapi","CA","661-822-2337","Brewery"
"HoneyRun Winery and Honey","2309 Park Ave.","Chico","CA","(530) 345-6405","Brewery"
"Hop Dogma Brewing Company","30 Avenue Portola","El Granada","CA","(650) 560-8729","Brewery"
"Hoparazzi Brewing Co","2910  E La Palma Ave","Anaheim","CA","(714) 204-0655","Brewery"
"Hornsby's Pubdrafts Ltd.","600 Yosemite Boulevard","Modesto","CA","(209) 579-3111","Brewery"
"Humboldt Regeneration Brewhouse","2320 Central Avenue","Mckinleyville","CA","(707) 738-8225","Brewery"
"I and I Brewing","14175 Telephone Ave, Suite J","Chino","CA","(909) 531-3915","Brewery"
"Indian Joe Brewing","2379 La Mirada Dr","Vista","CA","(760) 295-3945","Brewery"
"Indian Wells Brewing Company","2565 N. Hwy 14","Inyokern","CA","(760) 377-5989","Brewery"
"Inland Empire Brewing Co","1710 Palmyrita Ave #11","Riverside","CA","(951) 643-7687","Brewery"
"Inland Wharf Brewing","26440 Jefferson Ave Ste A","Murrieta","CA","951-696-7999","Brewery"
"Institution Ale Co","438 Calle San Pablo","Camarillo","CA","(805) 482-3777","Brewery"
"Intergalactic Brewing Company","9835 Carroll Centre Road","San Diego","CA","(858) 750-0601","Brewery"
"Iron Fist Brewing Company","1305 Hot Spring Way #101","Vista","CA","(760) 216-6500","Brewery"
"Ironfire Brewery","42095 Zevo Drive Suite #1","Temecula","CA","(951) 296-1397","Brewery"
"Island Brewing Company","5049 Sixth Street","Carpinteria","CA","(805) 745-8272","Brewery"
"Jack Russell Brewing Company","2380 Larsen Drive","Camino","CA","(530) 644-4722","Brewery"
"Jackrabbit Brewing Company","1315 Terminal St","West Sacramento","CA","(209) 612-0259","Brewery"
"JP DasBrew","44356 S Grimmer Blvd","Freemont","CA","510-270-5345","Brewery"
"Julian Brewing","2315 Main St.","Julian","CA","(760) 765-3757","Brewery"
"June Lake Brewing Company","131 S. Crawford Ave","June Lake","CA","858-668-6340","Brewery"
"Karl Strauss Breweries","5985 Santa Fe Street","San Diego","CA","(858) 273-2739","Brewery"
"Kelsey Creek Brewing Company","3945 Main St","Kelseyville","CA","(707) 279-2311","Brewery"
"King Harbor Brewing Company","2907 182nd Street","Redondo Beach","CA","","Brewery"
"Knee Deep Brewery and Taphouse","13395 New Airport Road Ste H","Auburn","CA","(530) 797-4677","Brewery"
"Kros Strain Brewing Company","10411 Portal Rd Suite 102","La Vista","CA","(402) 779-7990","Brewery"
"Kuracali","175 Bosslick Blvd #104","San Marcos","CA","","Brewery"
"La Quinta Brewing Company","77917 Wildcat Drive","Palm Desert","CA","(760) 200-2597","Brewery"
"La Verne Brewing Co","2125 Wright Avenue #C15","La Verne","CA","(626) 733-1380","Brewery"
"Lagunitas Brewing Company","1280 North McDowell Boulevard","Petaluma","CA","(707) 769-4495","Brewery"
"Last Name Brewing","2120 Porterfield Way","Upland","CA","(909) 579-0032","Brewery"
"Latitude 33 Brewing Company","1430 Vantage Court, Suite 104","Vista","CA","(760) 598-2337","Brewery"
"Laughing Monk","1439 Egbert Ave","San Francisco","CA","(415) 890-5970","Brewery"
"Left Coast Brewing Company","1245 Puerta Del Sol","San Clemente","CA","(949) 481-0731","Brewery"
"Legacy Brewing","363 Airport Rd","Oceanside","CA","(760) 705-3221","Brewery"
"Lengthwise Brewing Company","6720 Schirra Court","Bakersfield","CA","(661) 836-2537","Brewery"
"Libertine Pub, The","801 Embarcadero","Morro Bay","CA","(805) 772-0700","Brewery"
"Lightning Brewery","13200 Kirkham Way, Suite 105","Poway","CA","(858) 513-8070","Brewery"
"Linden Street Brewery","95 Linden St","Oakland","CA","(510) 832-3345","Brewery"
"Long Beach Beer Lab","518 W Willow St","Long Beach","CA","(562) 270-3253","Brewery"
"Loomis Basin Brewing","3277 Swetzer Rd.","Loomis","CA","(916) 259-2739","Brewery"
"Lost Abbey / Port Brewing","155 Mata Way, Suite 104","San Marcos","CA","(760) 891-0272","Brewery"
"Lost Coast Brew House - Production Brewery","123 W Third St","Eureka","CA","(707) 445-4484","Brewery"
"Lost Winds Brewing Company","924 Calle Negocio, Suite C","San Clemente","CA","(949) 361-5922","Brewery"
"Lucky Luke Brewing","610 west ave O, suite 104","Palmadale","CA","661-270-5588","Brewery"
"M.Special Brewing Company","6860 Cortona Dr, Bldg C","Goleta","CA","(805) 968-6500","Brewery"
"Macleod Ale Brewing Co","14741 Calvert St","Van Nuys","CA","818-631-1963","Brewery"
"Mad Lab Craft Brewing","6120 Business Center CT Suite F-700","San Diego","CA","(619) 254-6478","Brewery"
"Mad River Brewing Company","195 Taylor Way","Blue Lake","CA","(707) 668-4151","Brewery"
"Mammoth Brewing Company","18 Main Street","Mammoth Lakes","CA","(760) 934-2337","Brewery"
"ManRock Brewing","191 S Oak Park Blvd Ste 3","Grover Beach","CA","(805) 270-3089","Brewery"
"Manzanita Brewing Company","9962 Prospect Ave. Ste. E","Santee","CA","(619) 334-1757","Brewery"
"Mendocino Brewing Company/Ukiah","1601 Airport Road","Ukiah","CA","(707) 463-2627","Brewery"
"Mission Brewery","1441 L street","San Diego","CA","(619) 544-055","Brewery"
"Modern Times Beer","3725 Greenwood Street","San Diego","CA","(619) 546-9694","Brewery"
"Monkish Brewing Co.","20311 South Western Avenue","Torrance","CA","","Brewery"
"Moonraker Brewing","12970 Earhart Ave Ste 100","Auburn","CA","(530)745-6816","Brewery"
"Mother Earth Brew Co.","2055 Thibodo Rd., Suite H.","Vista","CA","(760) 599-4225","Brewery"
"Mount Lowe Brewing Company","150 E. Saint Joseph St.","Arcadia","CA","626-244-7593","Brewery"
"Mount Shasta Brewing","360 College Avenue","Weed","CA","(530) 938-2394 ","Brewery"
"Mountain Meadows Mead","12 Third Street","Westwood","CA","(530) 256-3233","Brewery"
"Mountain Rambler Brewery","186 South Main Street","Bishop","CA","(760) 258-1348","Brewery"
"Mraz Brewing Company","2222 Francisco Dr","El Dorado Hills","CA","(916) 934-0744","Brewery"
"Napa Smith Brewery","1 Executive Way","Napa","CA","(707) 603-2986","Brewery"
"New Bohemia Brewing Company","1030 41st Ave","Santa Cruz","CA","(831) 350-0253","Brewery"
"New English Brewing Co.","11545 Sorrento Valley Rd. Suite 305.","San Diego","CA","(619) 857-8023","Brewery"
"New Glory Craft Brewery","8251 Alpine Ave.","Sacramento","CA","(916) 760-8306","Brewery"
"New Helvetia Brewing Company","1730 Broadway","Sacramento","CA","(916) 469-9889","Brewery"
"Nickel Beer Company","1485 Hollow Glen Road","Julian","CA","(760) 765-2337","Brewery"
"No Clue Craft Brewery","9037 Arrow Route #170","Rancho Cucamonga","CA","909.989.2394","Brewery"
"Noble Ale Works","1621 S. Sinclair St.","Anaheim","CA","(714) 634-2739","Brewery"
"Novo Brazil Brewing Co.","901 Lane Ave","Chula Vista","CA","(619) 768-0172","Brewery"
"Oak Hills Brewing Co","12221 Poplar St Unit #3","Hesperia","CA","760-244-8278","Brewery"
"Oceanside Ale Works","1800 Ord Way","Oceanside","CA","760-7214253","Brewery"
"Ohana Brewing Co.","1756 E. 23rd Street","Los Angeles","CA","(213) 748-2337","Brewery"
"ol' Republic Brewery","124 Argall Way","Nevada City","CA","(530) 264-7263","Brewery"
"Old Hangtown Beer Works","11327 Trade Center Dr #350","Rancho Cordova","CA","530-919-5166","Brewery"
"Old Orange Brewing Co","1444 North Batavia Street","Orange","CA","(714) 744-8410","Brewery"
"Old Redwood Brewing Co","9000 Windsor Rd, Ste A","Windsor","CA","(707) 657-7624","Brewery"
"Old Stamp Mill Brewery","22265 Parrotts Ferry Road","Columbia","CA","(209) 532-3089","Brewery"
"Old Stump Brewing Co.","2896 Metropolitan Pl","Pomona","CA","(909) 860-9052","Brewery"
"On The Tracks Brewery","5674-G El Camino Real","Carlsbad","CA","(760) 550-9688","Brewery"
"Out of Bounds Brewing Company","4480 Yankee Hill Road, Suite 100","Rocklin","CA","916-259-1511","Brewery"
"Pacific Plate Brewing Company","1999 South Myrtle Avenue","Monrovia","CA","(626) 239-8456","Brewery"
"Packinghouse Brewing Co","6421 Central Ave., Suite 101-A","Riverside","CA","(951) 688-2337","Brewery"
"Paso Robles Brewing Co.","525 Pine St.","Paso Robles","CA","(805) 239-1000","Brewery"
"Phantom Carriage","18525 South Main Street","Gardena","CA","(310) 538-5834","Brewery"
"Pint Nine Brewing Company","10411 Portal Rd","Papillion","CA","(402) 359-1418","Brewery"
"Pismo Brewing Company","361 Pomeroy","Pismo Beach","CA","","Brewery"
"Port O' Pints","1215 Northcrest Drive","Crescent City","CA","(707) 460-1154","Brewery"
"Poseidon Brewing Company","5777 Olivas Park Drive, Unit Q","Ventura","CA","805-477-0239","Brewery"
"Progress Brewing Co.","1822 Chico Ave","South El Monte","CA","626-552-9603","Brewery"
"Prohibition Brewing Co.","2004 E. Vista Way","Vista","CA","(760) 295-3525","Brewery"
"Prospectors Brewing Co","415 Main St","Murphys","CA","209-890-7630","Brewery"
"Prospectors Brewing Company","4996 A 7th Street","Mariposa","CA","(209) 742-6896","Brewery"
"Pure Order Brewing Co.","410 N Quarantina St.","Santa Barbara","CA","(805) 966-2881","Brewery"
"Quantum Brewing","5375Kearny Villa Rd #116","San Diego","CA","(858) 254-6481","Brewery"
"Rabbit's Foot Meadery","1246 Birchwood Drive","Sunnyvale","CA","(408) 747-0770","Brewery"
"Rare Barrel, The","940 Parker St","Berkeley","CA","(510) 984-6585","Brewery"
"Reckless Brewing Company","9040 Carroll Way, Suite 8","San Diego","CA","(858) 876-7557","Brewery"
"Redwood Curtain Brewing Company","550 S G St. #6","Arcata","CA","(707) 826-7222","Brewery"
"Refuge Brewery","43040 Rancho Way, #200","Temecula","CA","(951) 506-0609","Brewery"
"Right Eye Brewing","221 Benton Ct","Suisun City","CA","707-623-7772","Brewery"
"Rip Current Brewing Company","1325 Grand Ave, Suite 100","San Marcos","CA","(760) 481-3141","Brewery"
"Ritual Brewing","1315 Research Drive","Redlands","CA","","Brewery"
"Rough Draft Brewing Company","8830 Rehco Rd., Suite D","San Diego","CA","(858) 453-7238","Brewery"
"Ruhstaller Brewery","630 K Street","Sacramento","CA","(916) 447-1881","Brewery"
"Russian River Brewing Co - Production Brewery","1812 Ferdinand Court","Santa Rosa","CA","(707) 545-2337","Brewery"
"Saint Archer Brewing Co.","9550 Distribution Ave.","San Diego","CA","(858) 225-2337","Brewery"
"Sanctum Brewing","560 E. Commercial St, Suite 21","Pomona","CA","","Brewery"
"Santa Clara Valley Brewing","101 E Alma Ave","San Jose","CA","(408) 288-5181","Brewery"
"Santa Cruz Ale Works","150 Dubois Street","Santa Cruz","CA","(831) 425-1182","Brewery"
"Santa Cruz Mountain Brewing","402 Ingalls St","Santa Cruz","CA","(831) 425-4900","Brewery"
"Santa Maria Brewing Co","112 Cuyama Ln","Nipomo","CA","(805) 349-2090","Brewery"
"Sante Adairius Rustic Ales","103 Kennedy Drive","Capitola","CA","(831) 462-1227","Brewery"
"Scholb Premium Ales","2964 Columbia St","Torrance","CA","","Brewery"
"Schubros Brewery","12893-N Alcosta Blvd","San Ramon","CA","(925) 327-0700","Brewery"
"Seven Stills Brewery & Distillery","1439 Egbert Ave","San Francisco","CA","(855) 594-4753","Brewery"
"Skyland Ale Works","109 N. Maple St Unit C","Corona","CA","951-817-3037","Brewery"
"Skyscraper Brewing Company","3229 Durfee Avenue","El Monte","CA","(626) 575-0770","Brewery"
"Smog City Brewing","1901 Del Amo Blvd","Torrance","CA","","Brewery"
"Societe Brewing Co.","8262 Clairemont Mesa Blvd","San Diego","CA","(858) 598-5409","Brewery"
"Solvang Brewing Company","1547 Mission Drive","Solvang","CA","(805) 688-2337","Brewery"
"Sonoma Springs Brewing Co","750 W. Napa St","Sonoma","CA","(707) 202-8295","Brewery"
"Sons of Liberty Ale Works","1780 Town and Country Dr Ste 101","Norco","CA","(951) 278-1760","Brewery"
"St. Florian's Brewery","7704A Bell Road","Windsor","CA","(707) 838-2739","Brewery"
"Stereo Brewing Company","950 S. Via Rodeo","Placentia","CA","714-993-3390","Brewery"
"Strand Brewing Co.","23520 Telo Ave # 2","Torrance","CA","(310) 517-0900","Brewery"
"Strike Brewing Co","2099 S 10th St #30","San Jose","CA","(650) 714-6983","Brewery"
"Stumblefoot Brewing Co.","1784 La Costa Meadows Dr #103","San Marcos","CA","","Brewery"
"Sudwerk Brewing Co","2001 2nd St","Davis","CA","530.756.2739","Brewery"
"Sundowner Brewery","30961 Agoura Road","Westlake Village","CA","(818) 597-9463","Brewery"
"Surf Brewery","4561 Market Street #A","Ventura","CA","(805) 644-2739","Brewery"
"Tahoe Mountain Brewery - Truckee","10990 Industrial Way","Truckee","CA","","Brewery"
"Tap It Brewing","675 Clarion Court","San Luis Obispo","CA","(805) 545-7702","Brewery"
"Telegraph Brewing Company","416 North Salsipuedes Street","Santa Barbara","CA","(805) 963-5018","Brewery"
"The Good Beer Company","309 W 4th St","Santa Ana","CA","","Brewery"
"The Libertine Brewing Company","1234 Broad St","San Luis Obispo","CA","805-548-2337","Brewery"
"Third Window Brewing","406 East Haley St Ste 3","Santa Barbara","CA","805-979-5090","Brewery"
"Thompson Brewing","9860 Indiana Ave. Suite 8","Riverside","CA","(951) 956-0480","Brewery"
"Thorn St. Brewery","3176 Thorn St.","San Diego","CA","(619) 501-2739","Brewery"
"Three Mile Brewing Co","231 G St, #3","Davis","CA","(530) 564-4351","Brewery"
"Three Monkeys Brewing Company","5 East Yosemite Ave.","Madera","CA","(559) 363-2709","Brewery"
"Three Weav3rs","1031 W Manchester Blvd, Unit A-B","Inglewood","CA","310-400-5830","Brewery"
"Three Weavers Brewery","1031 W. Manchester Blvd., Unit A-B","Inglewood","CA","(310) 400-5830","Brewery"
"Timeless Pints Brewing Company","3671 Industry Avenue,	 C1","Lakewood","CA","562-490-0099","Brewery"
"Tioga-Sequoia Brewing Company","746 Broadway","Fresno","CA","(559) 486-2337","Brewery"
